Year,Hand,Gear,capacity_Engine,Engine_type,Km,Area,City,Description,Model,Color,Cre_date,Repub_date,Test,Pic_num,Prev_ownership,Curr_ownership,Price,Manufactor
2012,2,אוטומטית,1500,דיזל,230000,טבריה והסביבה,טבריה,"רכב במצב חדש, שמור, הדגם המפואר.
גג נפתח, ריפודי עור, נעילה מרכזית.
נהג יחיד.
גמיש במחיר.",רנו פלואנס,כסף מטלי,20/05/2023,23/05/2023,,4,פרטית,פרטית,23000.0,רנו
2013,3,אוטומטית,1400,דיזל,270000,,מי עמי,מצב האוטו מעולה מטובל ושמור !!,רנו מגאן אסטייט/ גראנד טור,אפור מטאלי,11/05/2023,11/05/2023,,6,פרטית,פרטית,17000.0,רנו
2015,3,ידנית,1000,בנזין,102000,גליל ועמקים,נצרת עילית," רכב שמור, דגם המפואר כולל מערכת מולטימדיה כניסה והנעה ללא מפתיח ועוד מלא תוספות, רכב ללא תאונות מטופל במוסך היבואן (היסטוריה מלאה),נמכר עקב קניית רכב חדש, גמיש...",רנו קליאו,לבן מטאלי,10/10/2022,28/10/2022,,5,פרטית,פרטית,30500.0,רנו
2013,1,ידנית,900,בנזין,70000,"ראשל""צ והסביבה",ראשון לציון,"רכב שמור ומושקע עם טסט וטיפול עד אוק'23. הרכב ברמת הגימור הגבוהה ובנוסף בעל המון תוספות וקילומטראז' סופר נמוך וגם חנה רק בחניות מקורות.
לרכב מנוע טורבו חזק, חס...",רנו קליאו דור 4,,22/10/2022,22/10/2022,,1,,,30000.0,רנו
2015,2,אוטומטית,1200,בנזין,114000,אשדוד - אשקלון,שתולים,"רכב במצב מצויין עם שריטות קלות 
רכב שני במשפחה נסיעות לעבודה וחזרה 
נהג אחד! ",רנו קפצ`ור,,14/10/2022,14/10/2022,,1,,,39000.0,רנו
2015,2,אוטומטית,1598,בנזין,157345,מודיעין והסביבה,מודיעין מכבים רעות,"רכב יפה במצב מצוין נקי צמיגים חדשים בטריה חדשה טסט עד סוף מרץ 23 מוכר עקב נסיעה ממושכת לח""ל ",רנו פלואנס,,12/10/2022,12/10/2022,,1,,,26000.0,רנו
2011,2,אוטומטית,1600,בנזין,,חיפה וחוף הכרמל,חיפה,"רכב שמור חסכוני 13000 לקילו בדלק
שירות מלא מצבר חדש גלגלים חדשים מזגן חזק &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; אוטו שמור ",רנו פלואנס,,07/10/2022,07/10/2022,,1,,,13500.0,רנו
2014,1,אוטומטית,1600,בנזין,473000,אשדוד - אשקלון,אשדוד,"שנת ייצור 2014 ,משולב בנזין וגפ""מ
קיים וו גרירה קבוע
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה",רנו 11,,30/09/2022,30/09/2022,,1,,,12000.0,רנו
2014,2,אוטומטית,1500,טורבו דיזל,180000,רעננה - כפר סבא,רעננה,רכב במצב מעולה. מטופל בחברה. עשה טיימינג. חסכוני מאוד. 1:17 שמור מאוד. לא עבר תאונות. מתחייב מנוע גיר שלדה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון. חיישני ...,רנו מגאן אסטייט / גראנד טור,,22/09/2022,22/09/2022,,1,,,33000.0,רנו
2015,3,אוטומטית,1200,בנזין,141,,ערערה,"רכב יפה, שמור מאוד, מטופל בזמן, ללא תאונות או שריטות או תיקוני צבע",רנו קפצ`ור,,21/09/2022,21/09/2022,,1,,,44000.0,רנו
2014,2,אוטומטית,1197,בנזין,130000,חולון - בת ים,חולון,הרכב שמור במצב מעולה,רנו קליאו דור 4,,21/09/2022,21/09/2022,,1,,,28000.0,רנו
2014,1,אוטומטית,1500,דיזל,350000,רעננה - כפר סבא,כפר סבא,מצב מכני טוה ומטופלת במוסכים מורשים,רנו מגאן אסטייט / גראנד טור,,19/09/2022,19/09/2022,,1,,,17000.0,רנו
1983,2,ידנית,2000,בנזין,100,מושבים במרכז,משמר השבעה,בהזדמנות...רכב מסחרי רנו פורגונט...נדיר לשיפוץ...אפשר לעשות.. מכונית אוכל..שנת ייצור 1960...דלת צד מימין ושתי דלתות מאחור &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt...,רנו 11,,11/09/2022,11/09/2022,,1,,,,רנו
2012,3,ידנית,1200,בנזין,105800,באר שבע והסביבה,באר שבע,"אוטו רנו קליאו, שנת 2012, ידני, חסכוני בדלק, נפח מנוע 1200 סמ״ק, יד שלישית, 105,800 קמ״ש, שמור טוב.
שולמה אגרת רישוי עד 9/23.",רנו קליאו,,05/09/2022,05/09/2022,,1,,,16500.0,רנו
2013,5,טיפטרוניק,1600,דיזל,197000,כרמיאל והסביבה,כרמיאל,"רכב יפה, בלי תאונות, חסכוני מאוד ואמיץ, טסט לשנה",רנו פלואנס,,04/09/2022,04/09/2022,-280,1,,,25000.0,רנו
2015,3,אוטומטית,1200,בנזין,136000,רמת גן - גבעתיים,רמת גן,"מוכרת את הקליאו החתיך שלי, 
שנת 2015
 קליאו דור 4 2015, דגם לייף משודרג במערכת סאונד
טסט עד דצמבר, 136 אלף קמ, יד שלישית
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br...",רנו קליאו דור 4,,22/08/2022,22/08/2022,,1,,,28000.0,רנו
2014,1,אוטומטית,1200,בנזין,129000,רעננה - כפר סבא,כפר סבא,"רכב יפהפה, יד ראשונה, שימש תמיד בתור רכב שני במשפחה בה הרכב הראשון הוא רכב חברה ולכן רק 129000 ק""מ, מטופל במוסך מורשה בכל השנים ובמצב מכני מצויין, נמכר כי קנינו...",רנו קליאו דור 4,,21/08/2022,21/08/2022,,1,,,30400.0,רנו
2005,4,אוטומטית,1400,בנזין,113000,נס ציונה - רחובות,רחובות,רכב נוסע מצויין ללא תקלות עם טסט לא נסע הרבה .,רנו טליה,,19/08/2022,19/08/2022,,1,,,7000.0,רנו
2012,2,אוטומטית,1461,דיזל,274380,אשדוד - אשקלון,אשדוד,"אחרי טיפול גדול אחלפת טימינג 
שמוא מאוד 
",רנו פלואנס,,16/08/2022,16/08/2022,,1,,,15000.0,רנו
2014,2,אוטומטית,1461,טורבו דיזל,280000,,רהט,"רנו הדגם המפואר,כולל מוליטמדיה מלאה ,רכב טוב ושמור ,שליטה מההגה,מזגן מפוצל לכסאות האחוריים,נעילה מרכזית,4 צמיגים חדשים,טסט לחודש 11, זה הצורה החדשה,ללא רצועת טי...",רנו פלואנס,,11/08/2022,11/08/2022,-639,1,,,34000.0,רנו
2009,1,אוטומטית,1380,בנזין,424000,חיפה וחוף הכרמל,חיפה,,רנו לוגאן MCV,,11/08/2022,11/08/2022,,1,,,9000.0,רנו
2011,3,אוטומטית,1600,בנזין,156000,,יקנעם עילית,"משפתית מרווחת. מצב מכני מצויין. 4 חלונות חשמל.בטיחותית. מזגן תקין וחזק.
חלונות אחוריים מושחרים. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גלגלי מגנזיום.",רנו פלואנס,,08/08/2022,08/08/2022,,1,,,15000.0,רנו
2009,2,אוטומטית,1598,בנזין,254000,,ישובי גדרות,7 מקומות. רכב גדול חזק ונוח.,רנו לוגאן MCV,,02/08/2022,02/08/2022,,1,,,6600.0,רנו
2011,3,אוטומטית,2000,בנזין,150000,נתניה והסביבה,נתניה,הרכב במצב טוב מתוחזק במוסך מורשה - 4 צמיגים בני כמה חודשים - וגם מצבר עם אחריות לעוד שנה - טסט ינואר 23,רנו פלואנס,,31/07/2022,31/07/2022,,1,,,14800.0,רנו
2014,3,ידנית,1000,בנזין,136,קריות,קרית אתא,רכב שמור וחסכוני קילומטר נמוך כל הקודם זוכה ,רנו קליאו,,25/07/2022,25/07/2022,,1,,,,רנו
2014,2,אוטומטית,1200,בנזין,60000,תל אביב,תל אביב יפו,"60 אלף קמ , מצב מכני מעולה, שמורה.",רנו קליאו,,16/07/2022,16/07/2022,,1,,,30000.0,רנו
2010,3,אוטומטית,1600,בנזין,150000,טבריה והסביבה,טבריה,לפרטים נוספים ניתן ליצור קשר ,רנו פלואנס,,14/07/2022,14/07/2022,,1,,,5000.0,רנו
2014,2,אוטומטית,1500,דיזל,216000,יישובי השומרון,קרני שומרון,"רנו מגאן סטיישן מודל 2014 במצב כמו חדש, חסכונית, בעלת חזות מרשימה, מרווחת ויציבה על הכביש. מזגן עוצמתי שמקפיא את כל חלל הרכב. רכב ששווה כל שקל וכל הקודם זוכה !",רנו מגאן אסטייט / גראנד טור,,13/07/2022,13/07/2022,,1,,,27000.0,רנו
2013,2,אוטומטית,1500,טורבו דיזל,180000,טבריה והסביבה,קצרין,"דגם חסכוני מאוד ! מצב מכני טוב !
נמכר עקב רכישת רכב חדש !",רנו פלואנס,,13/07/2022,13/07/2022,,1,,,15000.0,רנו
2014,2,אוטומטית,1187,בנזין,114800,כרמיאל והסביבה,גילון,"רכב שמור באופן נדיר. נרכש מיד ראשונה עם פחות מ 1500 ק״מ. נהגת יחידה, מטופל רק במוסך יבואן . ",רנו קליאו דור 4,,10/07/2022,10/07/2022,,1,,,32000.0,רנו
2011,3,אוטומטית,1600,בנזין,180000,רמלה - לוד,רמלה,"רנו פלואנס מצב מכני מצויין עבר טיפול גדול טסט לשנה , ברקסים חדשים בולמים חדשים מזגן חדש ועוד .",רנו פלואנס,שחור,28/06/2022,04/07/2022,-348,2,פרטית,פרטית,13500.0,רנו
2013,4,אוטומטית,1400,טורבו דיזל,180000,אשדוד - אשקלון,אשקלון,רכב טוב קילומטראז נמוך מטופל טוב נמכר עקב קנייה של רכב חדש,רנו פלואנס,,30/06/2022,30/06/2022,,1,,,26000.0,רנו
2009,4,אוטומטית,1600,בנזין,225000,אשדוד - אשקלון,אשדוד,רכב מצוין טוב וחסכוני מחיר רק להיום נימצא באשדוד ,רנו מגאן,אפור,13/12/2023,13/12/2023,,4,פרטית,פרטית,5000.0,רנו
2012,2,אוטומטית,1600,דיזל,230000,רעננה - כפר סבא,כפר סבא,"לבן מאובזר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון מעל הנהג נפתח חשמלי
מערכת כרוז כטנטרול ",רנו פלואנס,,22/06/2022,22/06/2022,,1,,,25000.0,רנו
2013,2,אוטומטית,1598,בנזין,140000,מודיעין והסביבה,מודיעין מכבים רעות,מצורף תמונות,רנו פלואנס,,02/06/2022,02/06/2022,,1,,,20000.0,רנו
2015,3,אוטומטית,1200,בנזין,105000,ירושלים והסביבה,ירושלים,"רנו קליאו סטיישן‏ - Expression Pack plus 
2015 
יד -2 
קמ 105KM 
לאחר טיפול תקופתי , הנעה ללא מפתח 
מתחייב על הכל בבדיקה . 
מחירון לוי יצחק -39,500",רנו קליאו דור 4,,25/05/2022,25/05/2022,,1,,,24000.0,רנו
2010,2,אוטומטית,1600,בנזין,,,חורה,חורה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; שמור,רנו פלואנס,,25/05/2022,25/05/2022,,1,,,7500.0,רנו
2011,6,אוטומטית,1600,בנזין,246,נתניה והסביבה,נתניה,"רכב מפנק ונוח וחסכוני מאוד בדלק 
עם טסט ארוך מחירון לוי יצחק 19800
מחיר 12900 לרציניים בלבד !!",רנו פלואנס,,14/05/2022,14/05/2022,,1,,,12900.0,רנו
2014,2,אוטומטית,1197,בנזין,157000,עמק יזרעאל,עפולה,"רנו קליאו אוט' EXPRESSION 2014 שחור מטאלי-יד 02. מנוע טורבו 1,200, עברה טיפול יסודי,החלפת צמיגים, מצבר ומערכת מיזוג חדשה. טסט עד 08/22, 157 אלף קילומטר. מטופלת,...",רנו קליאו דור 4,,14/05/2022,14/05/2022,-649,1,,,27500.0,רנו
2015,3,אוטומטית,1500,טורבו דיזל,205000,גליל ועמקים,ריינה,"רכב חסכוני עושה 18-20 לליטר ??
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; ארבע גלגלים חדשים 
חישני רורס",רנו פלואנס,,11/05/2022,11/05/2022,,1,,,30000.0,רנו
2013,3,אוטומטית,1461,דיזל,266000,באר שבע והסביבה,קרית גת,"במצב מצויין, גג נפתח ",רנו פלואנס,,06/05/2022,06/05/2022,,1,,,45000.0,רנו
2015,3,אוטומטית,1197,בנזין,116000,חיפה וחוף הכרמל,חיפה,"רכב שמור מאוד, שימש נהגת יחידה, בטיוחותי ביותר
נוסע נהדר, מטופל רק במוסך של החברה בקרסו
נמכר עקב מעבר לרכב משפחתי גדול יותר",רנו קפצ`ור,,04/05/2022,04/05/2022,,1,,,37500.0,רנו
2015,2,אוטומטית,1197,בנזין,214000,"ראשל""צ והסביבה",ראשון לציון,לא לשאול שאלות מיותרות בבקשה כי הכול רשום כולל הכול רנו קליאו 2015 סטיישן במצב טוב חסכונית מאוד הדגם הגדול והמורחב יותר. רכב והתנעה חכמה אם כפתור סגירה ופתיחה ב...,רנו קליאו דור 4,,22/04/2022,22/04/2022,,1,,,19456.0,רנו
2013,4,ידנית,898,בנזין,125000,אשדוד - אשקלון,אשדוד,"רנו קפצ'ור מודל 2013 =====גיר ידני === == 2 צבעים, כסוף וגג שחור 125000 ק""מ טסט בנובמבר יד 03 ברשיון ג'יפון 4X2 גבוה כייפי לנהיגה. מנוע 898 בנזין טורבו גמישה במ...",רנו קפצ`ור,,22/04/2022,22/04/2022,,1,,,,רנו
2014,2,אוטומטית,1111,בנזין,125000,,מגד אל כרום,רכב שמור במצב טוב מאד,רנו מגאן קופה / ספורט,,21/04/2022,21/04/2022,,1,,,,רנו
2013,4,ידנית,1000,בנזין,217000,בית שמש והסביבה,בית שמש,"רנו קליאו 2013
 ידנית נפח 900 טורבו 90 כוח סוס!!סופר 
חסכונית 
מערכת מולטימדיה 
שלט חכם הנעה פתיחה וסגירה ללא מפתח
בקרת שיוט קרוז קונטרול בגיר ידני !! 
לא הייתה...",רנו קליאו,אדום מטאלי,05/01/2022,11/01/2022,,5,פרטית,פרטית,17900.0,רנו
2013,2,אוטומטית,1200,בנזין,78000,ירושלים והסביבה,ירושלים, למכירה רנו קליאו האצ׳בק שנת 2013: *מערכת eco+בקרת שיוט *ללא תאונות *טיפולים בזמן *טסט עד לחודש ספטמבר *1200 טורבו *מסך מולטימדיה 10 אינצ׳ *4גלגלים חדשים +גאנטי...,רנו קליאו,לבן,11/01/2022,11/01/2022,-619,2,פרטית,פרטית,37000.0,רנו
2015,2,אוטומטית,1500,דיזל,200000,,בית קשת,"פלואנס דיזל יד שנייה, נהגת יחידה (אשתי), נקי, שמור וללא תאונות. עובר טיפולים כל 10 אלפים ק""מ בזמן! אוטו הכי חסכוני שתמצאו בקטגוריה! ג'אנט מגנזיום + 2 מפתחות...מ...",רנו פלואנס,כסוף מטאלי,28/12/2021,28/12/2021,,4,ליסינג,פרטית,29900.0,רנו
2014,1,אוטומטית,1600,בנזין,126000,בקעת אונו,קרית אונו,"רכב במצב מכני מצוין שנת 2014 בנזין
נראה אש עשה רק126000 קילומטר
הוחלף עכשיו 4 צמיגים
טסט כמעט שנה עד ה7 2022",רנו פלואנס,כסוף,05/10/2021,05/10/2021,,4,פרטית,ליסינג,22500.0,רנו
2011,3,ידנית,1600,בנזין,100000,חדרה וישובי עמק חפר,חדרה,כסאות אחורים לרכב רנו לוגאן נשלפים על ידי 2 ברגים במצב טוב ,רנו לוגאן MCV,אפור עכבר,04/10/2021,04/10/2021,,1,פרטית,פרטית,1000.0,רנו
2014,4,אוטומטית,1200,בנזין,103000,פתח תקוה והסביבה,פתח תקווה,"הרכב שמור במצב מצויין .
",רנו קליאו,אפור,14/04/2023,16/04/2023,,0,פרטית,פרטית,25000.0,רנו
2015,2,אוטומטית,1200,בנזין,133000,,בית ג'ן,"מציאה ...רכב חדש לחולטין..נקי ומטופל ..ק""מ נמוך",רנו קליאו אסטייט,כסוף,15/01/2023,15/01/2023,,0,ליסינג,פרטית,29000.0,רנו
2013,1,ידנית,1150,בנזין,,,ידידיה,את הרכב קניתי ישירות מהיבואן.,רנו קליאו,,29/10/2022,29/10/2022,,0,,,18000.0,רנו
2012,2,אוטומטית,90,חשמלי,42300,בית שמש והסביבה,בית שמש,"רכב חשמלי 100%
שקט אמין נוסע 80 ק"" ללא דלק בכלל
חווית נהיגה שלא הכרתם.",רנו פלואנס חשמלי,,20/09/2022,20/09/2022,,0,,,27000.0,רנו
2015,3,אוטומטית,1197,בנזין,85000,ירושלים והסביבה,מבשרת ציון,"קפצור גרסה מעוצבת, בצבע אדום גג לבן. נמכר עקב חתונה רכב שמור ביותר מטופל בזמן רכב שלא רואה מוסך!! מנוע גיר שלדה נקיים לחלוטין יד 02 פרטי &lt;br/&gt;&lt;br/&gt;פ...",רנו קפצ`ור,,27/08/2022,27/08/2022,,0,,,44500.0,רנו
2014,2,אוטומטית,1461,טורבו דיזל,,תל אביב,תל אביב יפו,,רנו 25,,01/07/2022,01/07/2022,,0,,,28000.0,רנו
2015,2,אוטומטית,1461,טורבו דיזל,,גליל ועמקים,נצרת עילית,,רנו פלואנס,,01/07/2022,01/07/2022,,0,,,,רנו
