Year,Hand,Gear,capacity_Engine,Engine_type,Km,Area,City,Description,Model,Color,Cre_date,Repub_date,Test,Pic_num,Prev_ownership,Curr_ownership,Price,Manufactor
2011,3,אוטומטית,1600,בנזין,194000,באר שבע והסביבה,באר שבע,שמור מאוד ברמת הבורג בפנים בחוץ חדש אחרי פרונט צמיגים טיימינג טיפול שמן מקורי פלאגים מושקע מאוד,רנו פלואנס,אפור מטאלי,2023-08-28,2023-08-28,,2,ליסינג,פרטית,14500.0,רנו
2012,1,אוטומטית,1600,בנזין,148000,עמק יזרעאל,מגדל העמק,"רכב חלומי שמור להפליא 
בבעלות יד ראשונה נקנה מהחברה 
רכב עם מזגן מעולה נוסע מדהים
שמור בקנאות ללא שריטות וצבע מדהים
הרכב נמכר בצער עקב שדרוג לרכב חדש 
והקודם זו...",רנו פלואנס,כחול כהה מטאלי,2023-04-07,2023-04-07,,6,ליסינג,פרטית,14900.0,רנו
2013,2,אוטומטית,1500,דיזל,190000,כרמיאל והסביבה,כרמיאל,"רכב רנו פלואינס שחורה, מטופלת בזמן רק במוסך מורשה, רכב טורבו דיזל, חסכוני, חלונות מושחרים, גלגלי מגנזיום, מצלמת רוורס. ",רנו פלואנס,שחור,2023-12-06,2023-12-06,,1,פרטית,פרטית,30000.0,רנו
2008,2,אוטומטית,1600,בנזין,167000,עמק יזרעאל,עפולה,"רכב במצב טוב , טסט עד סוף חודש גמיש ",רנו מגאן II,כסף מטלי,2023-04-06,2023-04-06,,3,ליסינג,פרטית,6500.0,רנו
2011,5,אוטומטית,1600,בנזין,190000,ירושלים והסביבה,ירושלים,"רנו פלואנס 2011
אוטומט
בנזין
 נגמר טסט יש ברכב קצת תקלות לא יודע בדיוק מה עלות תיקון, יש לציין שהרכב נוסע תקין
מחירון 16,800
מחיר 7,000₪ + אגרת טסט 1,350₪. גמיש...",רנו פלואנס,אפור,2023-05-30,2023-05-31,,5,פרטית,פרטית,8000.0,רנו
2012,2,אוטומטית,1500,דיזל,230000,טבריה והסביבה,טבריה,"רכב במצב חדש, שמור, הדגם המפואר.
גג נפתח, ריפודי עור, נעילה מרכזית.
נהג יחיד.
גמיש במחיר.",רנו פלואנס,כסף מטלי,2023-05-20,2023-05-23,,4,פרטית,פרטית,23000.0,רנו
2013,3,אוטומטית,1400,דיזל,270000,,מי עמי,מצב האוטו מעולה מטובל ושמור !!,רנו מגאן אסטייט/ גראנד טור,אפור מטאלי,2023-11-05,2023-11-05,,6,פרטית,פרטית,17000.0,רנו
2015,3,ידנית,1000,בנזין,102000,גליל ועמקים,נצרת עילית," רכב שמור, דגם המפואר כולל מערכת מולטימדיה כניסה והנעה ללא מפתיח ועוד מלא תוספות, רכב ללא תאונות מטופל במוסך היבואן (היסטוריה מלאה),נמכר עקב קניית רכב חדש, גמיש...",רנו קליאו,לבן מטאלי,2022-10-10,2022-10-28,,5,פרטית,פרטית,30500.0,רנו
2013,1,ידנית,900,בנזין,70000,"ראשל""צ והסביבה",ראשון לציון,"רכב שמור ומושקע עם טסט וטיפול עד אוק'23. הרכב ברמת הגימור הגבוהה ובנוסף בעל המון תוספות וקילומטראז' סופר נמוך וגם חנה רק בחניות מקורות.
לרכב מנוע טורבו חזק, חס...",רנו קליאו דור 4,,2022-10-22,2022-10-22,,1,,,30000.0,רנו
2015,2,אוטומטית,1200,בנזין,114000,אשדוד - אשקלון,שתולים,"רכב במצב מצויין עם שריטות קלות 
רכב שני במשפחה נסיעות לעבודה וחזרה 
נהג אחד! ",רנו קפצ`ור,,2022-10-14,2022-10-14,,1,,,39000.0,רנו
2015,2,אוטומטית,1598,בנזין,157345,מודיעין והסביבה,מודיעין מכבים רעות,"רכב יפה במצב מצוין נקי צמיגים חדשים בטריה חדשה טסט עד סוף מרץ 23 מוכר עקב נסיעה ממושכת לח""ל ",רנו פלואנס,,2022-12-10,2022-12-10,,1,,,26000.0,רנו
2011,2,אוטומטית,1600,בנזין,,חיפה וחוף הכרמל,חיפה,"רכב שמור חסכוני 13000 לקילו בדלק
שירות מלא מצבר חדש גלגלים חדשים מזגן חזק &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; אוטו שמור ",רנו פלואנס,,2022-07-10,2022-07-10,,1,,,13500.0,רנו
2014,1,אוטומטית,1600,בנזין,473000,אשדוד - אשקלון,אשדוד,"שנת ייצור 2014 ,משולב בנזין וגפ""מ
קיים וו גרירה קבוע
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה",רנו 11,,2022-09-30,2022-09-30,,1,,,12000.0,רנו
2014,2,אוטומטית,1500,,180000,רעננה - כפר סבא,רעננה,רכב במצב מעולה. מטופל בחברה. עשה טיימינג. חסכוני מאוד. 1:17 שמור מאוד. לא עבר תאונות. מתחייב מנוע גיר שלדה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון. חיישני ...,רנו מגאן אסטייט / גראנד טור,,2022-09-22,2022-09-22,,1,,,33000.0,רנו
2015,3,אוטומטית,1200,בנזין,141,,ערערה,"רכב יפה, שמור מאוד, מטופל בזמן, ללא תאונות או שריטות או תיקוני צבע",רנו קפצ`ור,,2022-09-21,2022-09-21,,1,,,44000.0,רנו
2014,2,אוטומטית,1197,בנזין,130000,חולון - בת ים,חולון,הרכב שמור במצב מעולה,רנו קליאו דור 4,,2022-09-21,2022-09-21,,1,,,28000.0,רנו
2014,1,אוטומטית,1500,דיזל,350000,רעננה - כפר סבא,כפר סבא,מצב מכני טוה ומטופלת במוסכים מורשים,רנו מגאן אסטייט / גראנד טור,,2022-09-19,2022-09-19,,1,,,17000.0,רנו
1983,2,ידנית,2000,בנזין,100,מושבים במרכז,משמר השבעה,בהזדמנות...רכב מסחרי רנו פורגונט...נדיר לשיפוץ...אפשר לעשות.. מכונית אוכל..שנת ייצור 1960...דלת צד מימין ושתי דלתות מאחור &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt...,רנו 11,,2022-11-09,2022-11-09,,1,,,,רנו
2012,3,ידנית,1200,בנזין,105800,באר שבע והסביבה,באר שבע,"אוטו רנו קליאו, שנת 2012, ידני, חסכוני בדלק, נפח מנוע 1200 סמ״ק, יד שלישית, 105,800 קמ״ש, שמור טוב.
שולמה אגרת רישוי עד 9/23.",רנו קליאו,,2022-05-09,2022-05-09,,1,,,16500.0,רנו
2013,5,,1600,דיזל,197000,כרמיאל והסביבה,כרמיאל,"רכב יפה, בלי תאונות, חסכוני מאוד ואמיץ, טסט לשנה",רנו פלואנס,,2022-04-09,2022-04-09,-280,1,,,25000.0,רנו
2015,3,אוטומטית,1200,בנזין,136000,רמת גן - גבעתיים,רמת גן,"מוכרת את הקליאו החתיך שלי, 
שנת 2015
 קליאו דור 4 2015, דגם לייף משודרג במערכת סאונד
טסט עד דצמבר, 136 אלף קמ, יד שלישית
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br...",רנו קליאו דור 4,,2022-08-22,2022-08-22,,1,,,28000.0,רנו
2014,1,אוטומטית,1200,בנזין,129000,רעננה - כפר סבא,כפר סבא,"רכב יפהפה, יד ראשונה, שימש תמיד בתור רכב שני במשפחה בה הרכב הראשון הוא רכב חברה ולכן רק 129000 ק""מ, מטופל במוסך מורשה בכל השנים ובמצב מכני מצויין, נמכר כי קנינו...",רנו קליאו דור 4,,2022-08-21,2022-08-21,,1,,,30400.0,רנו
2005,4,אוטומטית,1400,בנזין,113000,נס ציונה - רחובות,רחובות,רכב נוסע מצויין ללא תקלות עם טסט לא נסע הרבה .,רנו טליה,,2022-08-19,2022-08-19,,1,,,7000.0,רנו
2012,2,אוטומטית,1461,דיזל,274380,אשדוד - אשקלון,אשדוד,"אחרי טיפול גדול אחלפת טימינג 
שמוא מאוד 
",רנו פלואנס,,2022-08-16,2022-08-16,,1,,,15000.0,רנו
2014,2,אוטומטית,1461,,280000,,רהט,"רנו הדגם המפואר,כולל מוליטמדיה מלאה ,רכב טוב ושמור ,שליטה מההגה,מזגן מפוצל לכסאות האחוריים,נעילה מרכזית,4 צמיגים חדשים,טסט לחודש 11, זה הצורה החדשה,ללא רצועת טי...",רנו פלואנס,,2022-11-08,2022-11-08,-639,1,,,34000.0,רנו
2009,1,אוטומטית,1380,בנזין,424000,חיפה וחוף הכרמל,חיפה,,רנו לוגאן MCV,,2022-11-08,2022-11-08,,1,,,9000.0,רנו
2011,3,אוטומטית,1600,בנזין,156000,,יקנעם עילית,"משפתית מרווחת. מצב מכני מצויין. 4 חלונות חשמל.בטיחותית. מזגן תקין וחזק.
חלונות אחוריים מושחרים. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גלגלי מגנזיום.",רנו פלואנס,,2022-08-08,2022-08-08,,1,,,15000.0,רנו
2009,2,אוטומטית,1598,בנזין,254000,,ישובי גדרות,7 מקומות. רכב גדול חזק ונוח.,רנו לוגאן MCV,,2022-02-08,2022-02-08,,1,,,6600.0,רנו
2011,3,אוטומטית,2000,בנזין,150000,נתניה והסביבה,נתניה,הרכב במצב טוב מתוחזק במוסך מורשה - 4 צמיגים בני כמה חודשים - וגם מצבר עם אחריות לעוד שנה - טסט ינואר 23,רנו פלואנס,,2022-07-31,2022-07-31,,1,,,14800.0,רנו
2014,3,ידנית,1000,בנזין,136,קריות,קרית אתא,רכב שמור וחסכוני קילומטר נמוך כל הקודם זוכה ,רנו קליאו,,2022-07-25,2022-07-25,,1,,,,רנו
2014,2,אוטומטית,1200,בנזין,60000,תל אביב,תל אביב יפו,"60 אלף קמ , מצב מכני מעולה, שמורה.",רנו קליאו,,2022-07-16,2022-07-16,,1,,,30000.0,רנו
2010,3,אוטומטית,1600,בנזין,150000,טבריה והסביבה,טבריה,לפרטים נוספים ניתן ליצור קשר ,רנו פלואנס,,2022-07-14,2022-07-14,,1,,,5000.0,רנו
2014,2,אוטומטית,1500,דיזל,216000,יישובי השומרון,קרני שומרון,"רנו מגאן סטיישן מודל 2014 במצב כמו חדש, חסכונית, בעלת חזות מרשימה, מרווחת ויציבה על הכביש. מזגן עוצמתי שמקפיא את כל חלל הרכב. רכב ששווה כל שקל וכל הקודם זוכה !",רנו מגאן אסטייט / גראנד טור,,2022-07-13,2022-07-13,,1,,,27000.0,רנו
2013,2,אוטומטית,1500,,180000,טבריה והסביבה,קצרין,"דגם חסכוני מאוד ! מצב מכני טוב !
נמכר עקב רכישת רכב חדש !",רנו פלואנס,,2022-07-13,2022-07-13,,1,,,15000.0,רנו
2014,2,אוטומטית,1187,בנזין,114800,כרמיאל והסביבה,גילון,"רכב שמור באופן נדיר. נרכש מיד ראשונה עם פחות מ 1500 ק״מ. נהגת יחידה, מטופל רק במוסך יבואן . ",רנו קליאו דור 4,,2022-10-07,2022-10-07,,1,,,32000.0,רנו
2011,3,אוטומטית,1600,בנזין,180000,רמלה - לוד,רמלה,"רנו פלואנס מצב מכני מצויין עבר טיפול גדול טסט לשנה , ברקסים חדשים בולמים חדשים מזגן חדש ועוד .",רנו פלואנס,שחור,2022-06-28,2022-04-07,-348,2,פרטית,פרטית,13500.0,רנו
2013,4,אוטומטית,1400,,180000,אשדוד - אשקלון,אשקלון,רכב טוב קילומטראז נמוך מטופל טוב נמכר עקב קנייה של רכב חדש,רנו פלואנס,,2022-06-30,2022-06-30,,1,,,26000.0,רנו
2009,4,אוטומטית,1600,בנזין,225000,אשדוד - אשקלון,אשדוד,רכב מצוין טוב וחסכוני מחיר רק להיום נימצא באשדוד ,רנו מגאן,אפור,2023-12-13,2023-12-13,,4,פרטית,פרטית,5000.0,רנו
2012,2,אוטומטית,1600,דיזל,230000,רעננה - כפר סבא,כפר סבא,"לבן מאובזר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון מעל הנהג נפתח חשמלי
מערכת כרוז כטנטרול ",רנו פלואנס,,2022-06-22,2022-06-22,,1,,,25000.0,רנו
2013,2,אוטומטית,1598,בנזין,140000,מודיעין והסביבה,מודיעין מכבים רעות,מצורף תמונות,רנו פלואנס,,2022-02-06,2022-02-06,,1,,,20000.0,רנו
2015,3,אוטומטית,1200,בנזין,105000,ירושלים והסביבה,ירושלים,"רנו קליאו סטיישן‏ - Expression Pack plus 
2015 
יד -2 
קמ 105KM 
לאחר טיפול תקופתי , הנעה ללא מפתח 
מתחייב על הכל בבדיקה . 
מחירון לוי יצחק -39,500",רנו קליאו דור 4,,2022-05-25,2022-05-25,,1,,,24000.0,רנו
2010,2,אוטומטית,1600,בנזין,,,חורה,חורה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; שמור,רנו פלואנס,,2022-05-25,2022-05-25,,1,,,7500.0,רנו
2011,6,אוטומטית,1600,בנזין,246,נתניה והסביבה,נתניה,"רכב מפנק ונוח וחסכוני מאוד בדלק 
עם טסט ארוך מחירון לוי יצחק 19800
מחיר 12900 לרציניים בלבד !!",רנו פלואנס,,2022-05-14,2022-05-14,,1,,,12900.0,רנו
2014,2,אוטומטית,1197,בנזין,157000,עמק יזרעאל,עפולה,"רנו קליאו אוט' EXPRESSION 2014 שחור מטאלי-יד 02. מנוע טורבו 1,200, עברה טיפול יסודי,החלפת צמיגים, מצבר ומערכת מיזוג חדשה. טסט עד 08/22, 157 אלף קילומטר. מטופלת,...",רנו קליאו דור 4,,2022-05-14,2022-05-14,-649,1,,,27500.0,רנו
2015,3,אוטומטית,1500,,205000,גליל ועמקים,ריינה,"רכב חסכוני עושה 18-20 לליטר ??
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; ארבע גלגלים חדשים 
חישני רורס",רנו פלואנס,,2022-11-05,2022-11-05,,1,,,30000.0,רנו
2013,3,אוטומטית,1461,דיזל,266000,באר שבע והסביבה,קרית גת,"במצב מצויין, גג נפתח ",רנו פלואנס,,2022-06-05,2022-06-05,,1,,,45000.0,רנו
2015,3,אוטומטית,1197,בנזין,116000,חיפה וחוף הכרמל,חיפה,"רכב שמור מאוד, שימש נהגת יחידה, בטיוחותי ביותר
נוסע נהדר, מטופל רק במוסך של החברה בקרסו
נמכר עקב מעבר לרכב משפחתי גדול יותר",רנו קפצ`ור,,2022-04-05,2022-04-05,,1,,,37500.0,רנו
2015,2,אוטומטית,1197,בנזין,214000,"ראשל""צ והסביבה",ראשון לציון,לא לשאול שאלות מיותרות בבקשה כי הכול רשום כולל הכול רנו קליאו 2015 סטיישן במצב טוב חסכונית מאוד הדגם הגדול והמורחב יותר. רכב והתנעה חכמה אם כפתור סגירה ופתיחה ב...,רנו קליאו דור 4,,2022-04-22,2022-04-22,,1,,,19456.0,רנו
2013,4,ידנית,898,בנזין,125000,אשדוד - אשקלון,אשדוד,"רנו קפצ'ור מודל 2013 =====גיר ידני === == 2 צבעים, כסוף וגג שחור 125000 ק""מ טסט בנובמבר יד 03 ברשיון ג'יפון 4X2 גבוה כייפי לנהיגה. מנוע 898 בנזין טורבו גמישה במ...",רנו קפצ`ור,,2022-04-22,2022-04-22,,1,,,,רנו
2014,2,אוטומטית,1111,בנזין,125000,,מגד אל כרום,רכב שמור במצב טוב מאד,רנו מגאן קופה / ספורט,,2022-04-21,2022-04-21,,1,,,,רנו
2013,4,ידנית,1000,בנזין,217000,בית שמש והסביבה,בית שמש,"רנו קליאו 2013
 ידנית נפח 900 טורבו 90 כוח סוס!!סופר 
חסכונית 
מערכת מולטימדיה 
שלט חכם הנעה פתיחה וסגירה ללא מפתח
בקרת שיוט קרוז קונטרול בגיר ידני !! 
לא הייתה...",רנו קליאו,אדום מטאלי,2022-05-01,2022-11-01,,5,פרטית,פרטית,17900.0,רנו
2013,2,אוטומטית,1200,בנזין,78000,ירושלים והסביבה,ירושלים, למכירה רנו קליאו האצ׳בק שנת 2013: *מערכת eco+בקרת שיוט *ללא תאונות *טיפולים בזמן *טסט עד לחודש ספטמבר *1200 טורבו *מסך מולטימדיה 10 אינצ׳ *4גלגלים חדשים +גאנטי...,רנו קליאו,לבן,2022-11-01,2022-11-01,-619,2,פרטית,פרטית,37000.0,רנו
2015,2,אוטומטית,1500,דיזל,200000,,בית קשת,"פלואנס דיזל יד שנייה, נהגת יחידה (אשתי), נקי, שמור וללא תאונות. עובר טיפולים כל 10 אלפים ק""מ בזמן! אוטו הכי חסכוני שתמצאו בקטגוריה! ג'אנט מגנזיום + 2 מפתחות...מ...",רנו פלואנס,כסוף מטאלי,2021-12-28,2021-12-28,,4,ליסינג,פרטית,29900.0,רנו
2014,1,אוטומטית,1600,בנזין,126000,בקעת אונו,קרית אונו,"רכב במצב מכני מצוין שנת 2014 בנזין
נראה אש עשה רק126000 קילומטר
הוחלף עכשיו 4 צמיגים
טסט כמעט שנה עד ה7 2022",רנו פלואנס,כסוף,2021-05-10,2021-05-10,,4,פרטית,ליסינג,22500.0,רנו
2011,3,ידנית,1600,בנזין,100000,חדרה וישובי עמק חפר,חדרה,כסאות אחורים לרכב רנו לוגאן נשלפים על ידי 2 ברגים במצב טוב ,רנו לוגאן MCV,אפור עכבר,2021-04-10,2021-04-10,,1,פרטית,פרטית,1000.0,רנו
2014,4,אוטומטית,1200,בנזין,103000,פתח תקוה והסביבה,פתח תקווה,"הרכב שמור במצב מצויין .
",רנו קליאו,אפור,2023-04-14,2023-04-16,,0,פרטית,פרטית,25000.0,רנו
2015,2,אוטומטית,1200,בנזין,133000,,בית ג'ן,"מציאה ...רכב חדש לחולטין..נקי ומטופל ..ק""מ נמוך",רנו קליאו אסטייט,כסוף,2023-01-15,2023-01-15,,0,ליסינג,פרטית,29000.0,רנו
2013,1,ידנית,1150,בנזין,,,ידידיה,את הרכב קניתי ישירות מהיבואן.,רנו קליאו,,2022-10-29,2022-10-29,,0,,,18000.0,רנו
2012,2,אוטומטית,90,חשמלי,42300,בית שמש והסביבה,בית שמש,"רכב חשמלי 100%
שקט אמין נוסע 80 ק"" ללא דלק בכלל
חווית נהיגה שלא הכרתם.",רנו פלואנס חשמלי,,2022-09-20,2022-09-20,,0,,,27000.0,רנו
2015,3,אוטומטית,1197,בנזין,85000,ירושלים והסביבה,מבשרת ציון,"קפצור גרסה מעוצבת, בצבע אדום גג לבן. נמכר עקב חתונה רכב שמור ביותר מטופל בזמן רכב שלא רואה מוסך!! מנוע גיר שלדה נקיים לחלוטין יד 02 פרטי &lt;br/&gt;&lt;br/&gt;פ...",רנו קפצ`ור,,2022-08-27,2022-08-27,,0,,,44500.0,רנו
2014,2,אוטומטית,1461,,,תל אביב,תל אביב יפו,,רנו 25,,2022-01-07,2022-01-07,,0,,,28000.0,רנו
2015,2,אוטומטית,1461,,,גליל ועמקים,נצרת עילית,,רנו פלואנס,,2022-01-07,2022-01-07,,0,,,,רנו
